Event Date,Facility Type,Occupational Category of Person Affected,Aggressor,Type of Violence,Primary Assault Description,Primary Contributing Factors,Severity of Assault,Emotional and/ or Psychological Impact,Level of Care Needed,Response Action Taken,Assault Description,Department/Office Incident Took Place,Assault Description
9/5/2024,Other,<N/S>,Other,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Threat of Violence; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Notified Security,,,
9/5/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/5/2024,Other,"Nurse (RN, LPN, LNA)",Outpatient,Verbal,Threat of Violence,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/5/2024,Other,<N/S>,Visitor,Property Damage/Vandalism,Aggression Toward an Inanimate Object,<N/S>,None,<N/S>,<N/S>,Notified Security,,,
9/4/2024,Other,<N/S>,Outpatient,Verbal,"Gender / Sexist Comments; Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Threat of Violence",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
9/5/2024,Other,<N/S>,Outpatient,Verbal,Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Notified Supervisor,,,
9/5/2024,BC,<N/S>,Inpatient,Verbal,"Profane, Lewd or Aggressive Language; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed,,,
9/6/2024,Med/Surg/Inpatient,<N/S>,Inpatient,Physical,Intimidation,<N/S>,None,<N/S>,<N/S>,Called Code Gray; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor,,,
9/6/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/6/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/6/2024,Other,<N/S>,Inpatient,Physical,Grabbed,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/6/2024,BC,<N/S>,Inpatient,Physical,Hit w/ Fist,<N/S>,Severe,Mild - Upset / Angry / Scared / Humiliated,<N/S>,Called Code Gray; De-escalation Techniques Utilized,,,
9/7/2024,ED,<N/S>,Inpatient,Physical,Scratched,<N/S>,Moderate,None - No emotional and/or psychological impact,Other (please specify),Behavioral Expectations Reviewed; Mechanical Restraint; Notified Security; Physical Hold,,,
9/5/2024,Other,Allied Health/Technologist,Visitor,Verbal,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,<N/S>,,,
9/8/2024,Other,Security,Resident (LTC),Physical,Intimidation; Pushed,N/A or Unknown,None,<N/S>,<N/S>,Called 911; De-escalation Techniques Utilized; Notified Security; Notified Supervisor,,,
9/8/2024,BC,<N/S>,Inpatient,Physical,Assault w/ Bodily Fluids; Assault w/ Weapon; Bitten; Scratched; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Mechanical Restraint; Notified Supervisor; Physical Hold,,,
9/9/2024,Other,<N/S>,Outpatient,Verbal,Intimidation,<N/S>,None,<N/S>,<N/S>,Notified Clinical Physician Resources; Notified Supervisor,,,
9/7/2024,ED,<N/S>,Outpatient,Verbal,Intimidation; Screaming or Yelling; Threat of Violence; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized,,,
9/8/2024,ED,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Security,,,
9/7/2024,Other,<N/S>,Visitor,Verbal,"condescending; demanding; Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Notified Supervisor,,,
9/10/2024,Med/Surg/Inpatient,<N/S>,Inpatient,Physical,Threat of Violence,<N/S>,Moderate,Mild - Upset / Angry / Scared / Humiliated,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Security; Notified Supervisor; Physical Hold,,,
9/10/2024,Med/Surg/Inpatient,<N/S>,Inpatient,Physical,threw breakfast and bowl in the direction of the LNA,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/10/2024,Other,<N/S>,Outpatient,Verbal,Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/10/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Threat of Violence",<N/S>,None,<N/S>,<N/S>,Called 911; De-escalation Techniques Utilized; Notified Supervisor,,,
9/10/2024,Other,Allied Health/Technologist,Inpatient,Physical,Slapped,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources,,,
9/10/2024,BC,"Nurse (RN, LPN, LNA)",Inpatient,Physical,Hit w/ Fist; Scratched,<N/S>,Moderate,Moderate - Moderate emotional and/or psychological impact with no missed work.,ED,Behavioral Expectations Reviewed; Called Code Gray; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor; Physical Hold; Seclusion,,,
9/11/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/11/2024,Other,<N/S>,Inpatient,Physical,Hit w/ Fist; Scratched,<N/S>,Moderate,None - No emotional and/or psychological impact,<N/S>,De-escalation Techniques Utilized,,,
9/11/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
9/12/2024,Other,<N/S>,Inpatient,Physical,Grabbed; Hit w/ Fist; Scratched; Slapped,<N/S>,Moderate,None - No emotional and/or psychological impact,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
9/11/2024,Other,<N/S>,Outpatient,Verbal,Intimidation; Racial / Cultural Comments; Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
9/12/2024,Other,<N/S>,Inpatient,Physical,Slapped,<N/S>,Other,None - No emotional and/or psychological impact,Other (please specify),De-escalation Techniques Utilized; Notified Supervisor,,,
9/12/2024,Other,Administration/Support Services,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Threat of Violence; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
9/12/2024,Med/Surg/Inpatient,<N/S>,Inpatient,Verbal,Intimidation,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
9/12/2024,Med/Surg/Inpatient,"Nurse (RN, LPN, LNA)",Inpatient,Verbal,Intimidation,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
9/13/2024,Other,Rehabilitation/Therapy Services,Other,Verbal,Intimidation,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/13/2024,Other,Allied Health/Technologist,Outpatient,Verbal,Intimidation; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/13/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; weapon possession ; Threatening lawsuit ",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Clinical Physician Resources,,,
9/13/2024,Other,<N/S>,Outpatient,Verbal,Intimidation; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
9/13/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized,,,
9/11/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
9/13/2024,BC,<N/S>,Inpatient,Physical,Hit w/ Fist,<N/S>,None,<N/S>,<N/S>,Called Code Gray; Physical Hold,,,
9/14/2024,Other,<N/S>,Resident (LTC),Verbal,Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
9/15/2024,BC,<N/S>,Inpatient,Property Damage/Vandalism,Aggression Toward an Inanimate Object,<N/S>,Mild,Moderate - Moderate emotional and/or psychological impact with no missed work.,Other (please specify),Called Code Gray,,,
9/15/2024,Other,<N/S>,Inpatient,Physical,Hit w/ Fist,<N/S>,Moderate,Moderate - Moderate emotional and/or psychological impact with no missed work.,ED,Notified Security,,,
9/15/2024,Other,"Nurse (RN, LPN, LNA)",Inpatient,Verbal,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized,,,
9/10/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/13/2024,Other,<N/S>,Outpatient,Verbal,Intimidation; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Notified Supervisor,,,
9/16/2024,Other,Allied Health/Technologist,Other,Verbal,Intimidation; Threat of Violence,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
9/16/2024,Other,"Nurse (RN, LPN, LNA)",Visitor,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling",N/A or Unknown,None,<N/S>,<N/S>,Notified Supervisor,,,
9/16/2024,Other,<N/S>,Inpatient,Physical,Hit w/ Fist,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources,,,
9/6/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
9/17/2024,BC,<N/S>,Inpatient,Physical,Scratched,<N/S>,Moderate,None - No emotional and/or psychological impact,Other (please specify),Seclusion,,,
9/17/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/17/2024,Other,<N/S>,Outpatient,Verbal,Racial / Cultural Comments,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/17/2024,BC,<N/S>,Inpatient,Physical,Bitten,<N/S>,Mild,Mild - Upset / Angry / Scared / Humiliated,Other (please specify),Called Code Gray; Mechanical Restraint; Notified Clinical Physician Resources; Physical Hold,,,
9/17/2024,Other,Administration/Support Services,Outpatient,Verbal,Screaming or Yelling; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/17/2024,Other,Administration/Support Services,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
9/18/2024,Other,"Nurse (RN, LPN, LNA)",Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/18/2024,BC,<N/S>,Inpatient,Physical,Bitten; Hit w/ Fist; Pushed,<N/S>,None,<N/S>,<N/S>,Called Code Gray; De-escalation Techniques Utilized; Mechanical Restraint; Notified Clinical Physician Resources; Notified Security; Physical Hold,,,
9/18/2024,Other,"Nurse (RN, LPN, LNA)",Outpatient,Physical,Grabbed; masturbation,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/16/2024,Other,<N/S>,Outpatient,Verbal,Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed,,,
9/19/2024,Other,<N/S>,Outpatient,Verbal,Intimidation; Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,<N/S>,,,
9/20/2024,Other,<N/S>,Inpatient,Physical,"attempt to hit with fist, was able to dodge; Hit w/ Fist",<N/S>,None,<N/S>,<N/S>,Notified Clinical Physician Resources,,,
9/19/2024,ED,<N/S>,Outpatient,Physical,Hit w/ Fist,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
9/19/2024,Other,<N/S>,Outpatient,Written/Digital,"Profane, Lewd or Aggressive Language; Stalking or Terrorizing; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/18/2024,Other,<N/S>,Other,Physical,bed,<N/S>,Other,None - No emotional and/or psychological impact,Urgent Care,Notified Supervisor,,,
9/12/2024,Other,<N/S>,Visitor,Verbal,Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
9/17/2024,Other,<N/S>,Outpatient,Written/Digital,Intimidation,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/20/2024,Other,<N/S>,Outpatient,Verbal,Intimidation,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed,,,
9/17/2024,Other,"Nurse (RN, LPN, LNA)",Outpatient,Verbal,"Intimidation; Threat of Violence; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor,,,
9/20/2024,ED,<N/S>,Other,Verbal,"Profane, Lewd or Aggressive Language; Threat of Violence; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/21/2024,Other,<N/S>,Inpatient,Physical,Grabbed,<N/S>,Moderate,Mild - Upset / Angry / Scared / Humiliated,Other (please specify),De-escalation Techniques Utilized,,,
9/22/2024,BC,<N/S>,Inpatient,Physical,Assault w/ Bodily Fluids; Grabbed; kneed,<N/S>,Mild,Mild - Upset / Angry / Scared / Humiliated,Other (please specify),Called Code Gray; Physical Hold,,,
9/21/2024,BC,<N/S>,Inpatient,Physical,Hit w/ Fist,<N/S>,Mild,Moderate - Moderate emotional and/or psychological impact with no missed work.,Other (please specify),Called 911; Called Code Gray; Notified Supervisor,,,
9/21/2024,BC,<N/S>,Inpatient,Physical,spitting,<N/S>,Other,Moderate - Moderate emotional and/or psychological impact with no missed work.,Other (please specify),Called 911; Called Code Gray; Notified Supervisor; Physical Hold,,,
9/22/2024,Other,<N/S>,Inpatient,Physical,Aggression Toward an Inanimate Object; Assault w/ Bodily Fluids; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized,,,
9/22/2024,BC,<N/S>,Inpatient,Physical,Grabbed; Hair Pulling; Hit w/ Fist; Intimidation; Kicked; Pushed; Scratched; Slapped; Threat of Violence; Unwelcome or Offensive Touching,<N/S>,Mild,Severe - Significant Emotional and/or psychological impact resulting in missed work.,Other (please specify),Called 911; Called Code Gray; Mechanical Restraint; Physical Hold,,,
9/22/2024,BC,Other,Inpatient,Physical,"Bitten; Exposure- Bodily Fluids, Head injury, spit on; Hit w/ Fist; Kicked; Scratched; Slapped",<N/S>,None,<N/S>,<N/S>,<N/S>,,,
9/22/2024,SCU,<N/S>,Inpatient,Physical,Assault w/ Bodily Fluids,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/22/2024,Other,<N/S>,Inpatient,Verbal,"Gender / Sexist Comments; Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Threat of Violence; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor,,,
9/22/2024,Other,<N/S>,Resident (LTC),Physical,Hit w/ Fist,<N/S>,Moderate,Mild - Upset / Angry / Scared / Humiliated,<N/S>,Notified Supervisor,,,
9/22/2024,Other,<N/S>,Resident (LTC),Physical,Hit w/ Fist,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/22/2024,ED,<N/S>,Outpatient,Physical,Threat of Violence,<N/S>,None,<N/S>,<N/S>,Called 911; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor; Physical Hold; Seclusion,,,
9/20/2024,Other,<N/S>,Outpatient,Written/Digital,Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed,,,
9/21/2024,ED,<N/S>,Other,Verbal,"Gender / Sexist Comments; Intimidation; Profane, Lewd or Aggressive Language; Racial / Cultural Comments; Screaming or Yelling; Threat of Violence; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Called 911; De-escalation Techniques Utilized; Notified Security; Notified Supervisor,,,
9/23/2024,ED,<N/S>,Outpatient,Written/Digital,Stalking or Terrorizing,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/23/2024,Other,<N/S>,Inpatient,Physical,Grabbed; Scratched; Slapped,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
9/24/2024,SCU,"Nurse (RN, LPN, LNA)",Inpatient,Physical,Grabbed,N/A or Unknown,None,<N/S>,<N/S>,Chemical Restraint; Notified Supervisor; Physical Hold,,,
9/24/2024,SCU,<N/S>,Inpatient,Physical,Grabbed,<N/S>,Other,Moderate - Moderate emotional and/or psychological impact with no missed work.,ED,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Mechanical Restraint; Notified Supervisor,,,
9/24/2024,Med/Surg/Inpatient,<N/S>,Inpatient,Physical,Threat of Violence,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
9/24/2024,Other,<N/S>,Outpatient,Verbal,Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
9/24/2024,Other,<N/S>,Inpatient,Physical,Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/24/2024,Other,<N/S>,Outpatient,Verbal,Intimidation; Screaming or Yelling; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized,,,
9/24/2024,Other,Administration/Support Services,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/25/2024,ED,<N/S>,Other,Verbal,"Gender / Sexist Comments; Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Called 911; De-escalation Techniques Utilized; Notified Security; Notified Supervisor,,,
9/25/2024,Other,"Nurse (RN, LPN, LNA)",Outpatient,Physical,Unwelcome or Offensive Touching,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Notified Supervisor,,,
9/20/2024,Other,Physician/APP,Outpatient,Written/Digital,Gender / Sexist Comments; Intimidation; Racial / Cultural Comments,N/A or Unknown,None,<N/S>,<N/S>,Notified Supervisor,,,
9/12/2024,Other,<N/S>,Visitor,Verbal,between mom/dad; Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,Notified Security,,,
9/25/2024,Other,<N/S>,Outpatient,Physical,Bitten,<N/S>,Mild,None - No emotional and/or psychological impact,Other (please specify),Behavioral Expectations Reviewed,,,
9/25/2024,Other,"Nurse (RN, LPN, LNA)",Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Supervisor,,,
9/25/2024,Other,Allied Health/Technologist,Outpatient,Physical,Hit w/ Fist,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
9/26/2024,Other,Allied Health/Technologist,Inpatient,Physical,Grabbed; Unwelcome or Offensive Touching,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
9/26/2024,Other,<N/S>,Resident (LTC),Verbal,Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
9/27/2024,Other,<N/S>,Inpatient,Verbal,Intimidation; Screaming or Yelling; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
9/27/2024,ED,<N/S>,Outpatient,Physical,Hit w/ Object,<N/S>,Mild,Mild - Upset / Angry / Scared / Humiliated,ED,Mechanical Restraint; Physical Hold,,,
9/27/2024,ED,<N/S>,Inpatient,Physical,Scratched,<N/S>,Moderate,None - No emotional and/or psychological impact,ED,Chemical Restraint; Mechanical Restraint; Physical Hold,,,
9/18/2024,Other,Allied Health/Technologist,Outpatient,Physical,Grabbed; Offensive sexual verbal interaction ; Unwelcome or Offensive Touching,<N/S>,None,<N/S>,<N/S>,<N/S>,,,
9/25/2024,Other,<N/S>,Outpatient,Written/Digital,"Intimidation; Profane, Lewd or Aggressive Language; Threat of Violence",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources,,,
9/27/2024,Other,<N/S>,Inpatient,Property Damage/Vandalism,Screaming and threatening,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor,,,
9/27/2024,Other,<N/S>,Visitor,Verbal,verbal abuse,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
9/24/2024,Other,<N/S>,Resident (LTC),Verbal,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/29/2024,Other,Allied Health/Technologist,Inpatient,Physical,Unwelcome or Offensive Touching,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
9/29/2024,Other,<N/S>,Resident (LTC),Physical,Assault w/ Bodily Fluids,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
9/24/2024,Other,Other,Outpatient,Verbal,Intimidation; Threat of Violence,N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
9/30/2024,Other,Allied Health/Technologist,Outpatient,Verbal,Intimidation; Screaming or Yelling,N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
9/26/2024,Other,Physician/APP,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,<N/S>,,,
10/1/2024,Other,<N/S>,Outpatient,Verbal,Intimidation; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
