Event Date,Physical Injury Incurred? Level of Care,Type of Person Affected,Occupational category of Person Impacted,Type of Violence,Primary Assault Description ,Immediate Actions (Reported),Contributing Factors (Reported),Nature of Injury,Location of Injury on Body,Emotional and/or Psychological Impact,Assault Description,Care/Service Area,Department,OSHA Recordable?,Law Enforcement Contacted,Charges Pressed
8/13/2024,No,"Affiliate (contracted staff, student)",Registered Nurse,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided; Reported to department leader; Safety Alert Button Activated,Altered Mental Status,  ,,  ,"Per employee:
This resource nurse was asked to transport patient from ICU room 149 to Med Surg Unit. When transport staff arrived, RN entered room to prep the patient for transport. Patient appeared to be sleeping and awoke upon introduction and stating the purpose of entering. Patient stated that he was not leaving. RN ensured patient that this current level of care was no longer required and that moving rooms was a good step on his road to recovery. Patient continued to stated that he wasn't leaving his room. Upon asking his reason for not leaving, patient did not respond and simply stared at the RN. Further education by RN on the transfer process led to the patient suddenly attempt to get out of bed and began violently removing clothes and medical devices. RN quickly stopped patient from causing harm from removing devices, attempted education on the importance of the devices and began attempts to replace the gown. A nursing aide entered the room to attempt to help this RN with de-escalation and encouraged patient to put his clothes back on. Attempts were unsuccessful and patient began violently swinging his arms to hit the aide. This RN stepped in to stop patient's arms in which patient grabbed with both hands RN's scrub tip and attempted to pull RN to him. Aide immediately activated the strong line. Patient continued to grasp on RN clothes for approximately 30 seconds despite stern instructions to release RN. Charge RN arrived at bedside for assessment and further de-escalation attempts. Security arrived soon after. Patient continued to ignore Charge RN. However, after a few minutes, patient asked where she wanted him. Patient then stood up from bed, despite instructions from Charge RN to lay back down in bed, replaced gown, and unsteadily walked to bed brought in by transport staff. This RN closely escorted patient to the bed to prevent risk of fall, prepped the bed for transport, then transported the patient to new room on Grant 5. Event was reported to the new bedside RN.

Chris Matthews denied the need for medical treatment and denied wanting to press charges. EAP offered.?",Patient Unit - Intensive/Critical Care,Intensive Care Unit,  ,,
8/15/2024,Yes,Employee,Registered Nurse,Abuse/Assault (Physical),Biting,No Action,Patient - Lack of Compliance/Adherence,Bite - Human,Right middle finger,  ,"Pt. was having increasing levels of agitation, restlessness, uncooperative with staff, resistant to redirection/orientation, showing paranoia and visual hallucinations. Had attempted administration of oral medication for behaviors which was unsuccessful. Then, attempted to let patient deescalate on own. Pt. began escalating again, and getting verbally aggressive with staff. Due to increased aggressive behaviors, gave prn IM medication per MD orders. During this administration, patient successfully bit this RN's in right middle finger (wearing gloves, did not break skin). Pt. was successfully medicated and is currently being supervised to ensure safety while patient calms down.?",Patient Unit - Medical/Surgical,Medical Surgical Unit,No,,
8/16/2024,Yes,Employee,Nursing Assistant,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques,Altered Mental Status; Action by Patient/Resident; Patient - Lack of Compliance/Adherence; Patient - Lack of Understanding,Pain; Soft Tissue Injury,"Right forearm - multiple hits, right thigh multiple hits",  ,"Patient  was placed in hallway after refusing to go to Pt room after hitting employee  with spoon. Patient continued to slap and hit repeatedly leaving red marks on arms and legs of myself, employee EP. Nurse notified and aware of situation.?",Patient Unit - Medical/Surgical,Medical Surgical Unit,Unknown,,
8/16/2024,Yes,Employee,Nursing Assistant,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques,Altered Mental Status,Bruise/Contusion; Pain,Arms/legs,  ,PT became mad when I gave her one plate at a time during dinner due to her consuming her food to fast (choking hazard). Another pt needed my attention so I reached over to grab the rest of PTs food when she smacked me with her spoon and grabbed my arm. CNA told PT to let go. PT became more upset and started yelling at staff. Staff tried to redirect but it was not effective. Staff called security to come sit with PT. PT threw walker across room and started swearing. This created other residents to become upset. Staff removed other residents from the area to prevent more distress. Nurse is aware.??,Patient Unit - Medical/Surgical,Medical Surgical Unit,Unknown,,
8/16/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Biting,Physical Restraints utilized,Action by Patient/Resident,Bite - Human,Right forearm,  ,"After telling a pt he couldn't have his ball in the milieu, pt lunged forward and bit my lower right arm.",Patient Unit - Psych/Behavioral Health,Katahdin 2 South,Yes,,
8/17/2024,Yes,Employee,Staff Nurse,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,De-escalation techniques; Treatment Provided; EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident; Altered Mental Status; Patient - Lack of Understanding,Soft Tissue Injury,Scratch to left wrist/lower forearm,  ,Confused patient grabbed arm of primary RN and and scratched wrist with nails,Patient Unit - Intensive/Critical Care,Cardiac Intensive Care Unit,No,,
8/17/2024,Yes,Employee,Staff Nurse,Abuse/Assault (Physical),Kicking/Hitting/Beating,EAP Offered; No Action,Action by Patient/Resident; Confused/Disoriented; Inability to Understand; Loss of Temper; Mental Status/Capacity; Patient - Lack of Understanding,Pain,"fat lip, small cut on inside of lip",  ,Was called for assistance by patient's primary nurse.? Patient was post-op several hours from a CABG and sitting up in the chair. Became confused and agitated. Went in to assist patient will sitting back down so as not to pull out any lines. Reached for patient's hand as he was pulling at his swan and patient hit me in the mouth,Patient Unit - Intensive/Critical Care,Cardiac Intensive Care Unit,No,,
8/18/2024,Yes,Employee,Staff Nurse,Abuse/Assault (Physical),Kicking/Hitting/Beating,Reported to department leader; EAP - Offered/Employee Assistance Program Information Provided,Altered Mental Status,Head Injury; Pain,Head,  ,"pt waking up from sedation attempting to self-extubate. While securing pt's wrists, the pt brought legs up and kicked me in the head?",Patient Unit - Intensive/Critical Care,Intensive Care Unit,No,,
8/19/2024,No,"Affiliate (contracted staff, student)",Nursing Assistant,Abuse/Assault (Physical),  ,EAP - Offered/Employee Assistance Program Information Provided; Safety Alert Button Activated,"Staff - Use of Agency, Temp or Traveling Staff",  ,,  ,"I was in the room with the primary nurse and getting ready to turn pt in bed when pt started to kick me multiple times, so I used my knee as a shield and the pt continued to kick me 4 more times to my legs as I was pinned against the wall. Then I immediately pressed my strong line button the primary nurse proceeded to assist in Holding back pt legs and arms.",Patient Unit - Medical/Surgical,Medical Surgical Unit - G5,  ,,
8/21/2024,No,"Affiliate (contracted staff, student)",Nursing Assistant,Abuse/Assault (Physical),Pushing/Shoving,Formal complaint filed with law enforcement,Action by Patient/Resident; Agitated; Cognitive Impairment; Confused/Disoriented; Loss of Temper,  ,,  ,"On 8/21/2024 I was placed in a 1:1 setting with a confused pt. The pt was adamant about leaving even when told it was not an option at the moment. Patient then became irrational and began pushing myself and the (computer on wheels) out of the way in an attempt to flee the room. I then pressed my strong arm, alert to get some help. followed up with hospital security and nurse manager Karen B.?",Patient Unit - Medical/Surgical,Medical Surgical Unit - G6,  ,,
8/21/2024,Yes,"Affiliate (contracted staff, student)",Registered Nurse,Abuse/Assault (Physical),Kicking/Hitting/Beating,Reported to department leader,Psychiatric Bed Unavailable,Emotional Distress,Right hand,  ,"On 08/21/2024 at approximately 0900 this Rn entered the patient's room accompanied by assigned CNA to administer medication (Long acting insulin Semglee injection pen). After consulting with the patient regarding where he wanted the injection and when using an alcohol pad to disinfect the site the patient started vigorously slapping this nurse's hand for no reason and without warning. I then proceeded to ask the patient to stop doing that and to please keep his hands to himself. The patient then told this RN and CNA to ""get the hell out of my room"", and ""don't come back until I call you"".?",Patient Unit - Medical/Surgical,Medical Surgical Unit - KPO3,No,,
8/21/2024,Yes,Employee,Staff Nurse,Abuse/Assault (Verbal),Posturing,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided; Handcuffs/Shackles Used; Psychological evaluation/intervention requested; Reported to department leader; Treatment Provided,Altered Mental Status; Self-Injurious Behavior,Emotional Distress,Emotional distress for all employees present on OB unit last night,  ,"Forensic patient present on grant 7 OB. Safety stop called at 1934 as patient has been verbally assaultive, violent, and trying to self-harm since her baby was removed per DHHS. Guards present at bedside. Staff concerned about safety on unit of staff and other patients. Spoke with guards and clarified that they would intervene it patient was being physically assaultive or attempted to leave the room. PO zyprexa ordered and given to help with behavior. Patient refusing all care and not safe for staff to get near her. The situation continued to escalate over the night. The guards sergeant came in to cover breaks, house manager discussed situation wth him and he stated that patient is violent and dangerous. After patient attempted to assault him. Taser could be heard from outside the room and sergeant after stated was not used but was very close to being used due to patient's unsafe behavior. At this time patient was cuffed to the bed by him and guard. House manager spoke with provider and asked for IM medication to help as situation had escalated. IM zyprexa given with security and multiple staff present to maintain safety. IM given without issue. Around 0415 House manager called again as patient has not de-escalated and now has had to be placed in spit mask and continues to be verbally abusive,screaming, and has abrasions from pulling against the handcuffs. Patient spitting Another order for IM zyprexa placed. Security and staff called to bedside to help with another IM. IM succesfully given but patient began trying to bite guards. Guards stated she's trying to bite and for everyone to get back. Patient attempting to kick staff as they moved back. Unit leadership arrived and working to find resolution to situation",Patient Unit - Women & Children,OB-GYN Unit,No,,
8/22/2024,Unknown,Employee,CERTIFIED NURSING ASSISTANT I,Sexual Contact,  ,Other,Action by Patient/Resident,  ,,  ,"Around 0830-0900 I entered pts rm alone to do repositioning for turn teams, was getting gloves to put on & stated I was there to do repositioning. Pt started asking me multiple times to give him a blow job, I stated no that's not happening. Then the pt started asking me multiple times to put my boobs in his face & I stated no that's happening either. He asked why not my wife would. I stated well that's your wife, I'm not your wife. He stated why not a cute little red headed nurse like you should be doing it & I stated again no that's not happening. He asked why not & I stated because I said so, so no. While I was bent over to reposition him & place pillows under his side he attempted to grab my peri area, I stepped back & as I was pt grabbed my breast, I jumped back & said no,? don't touch me & left the rm & as I was closing the door he stated don't close the door on me. I closed it & left. Spoke to the RN that had the pt for the day & let her know what had happened.",Patient Unit - Medical/Surgical,Medical Surgical Unit - G6,  ,,
8/23/2024,No,Employee,CERTIFIED NURSING ASSISTANT I,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; Safety Alert Button Activated,Action by Patient/Resident; Altered Mental Status; Patient - Lack of Compliance/Adherence; Patient - Lack of Understanding,  ,,  ,"Patient met at this beginning of shift irritable however redirectable. As shift progressed, patient became increasingly agitated and un directable. Patient entered other patient's room, refusing to leave. During attempt to assist patient from adjacent room, patient became physical aggressive with CNA, RN, and sitter in the form of kicking and thrashing. Strong line called. Patient eventually assisted to room with provider at bedside ordering adjunct medication to alleviate agitation.?",Patient Unit - Medical/Surgical,Medical Surgical Unit - G5,  ,,
8/24/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),  ,Apology Made; Treatment Provided,Action by Patient/Resident,Bite - Human; Bruise/Contusion; Pain,Arm,  ,pt attacked me and proceeded to bite my forearm. This happened twice in one shift. pt did not break skin but did leave a surface wound that is proceeding to bruise throughout my shift. Pt also has MRSA.??,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,  ,,
8/25/2024,No,"Affiliate (contracted staff, student)",Registered Nurse,Sexual Contact,  ,De-escalation techniques; Psychological evaluation/intervention requested; Reported to department leader,Altered Mental Status; Communication Failure; Patient - Lack of Understanding,Emotional Distress,,  ,"While proving care, pt was able to reach around and grope my buttocks. I was able to redirect pt and his hands returned back to his sides. I then leaned over to place the nasal cannula back on since he removed it. The pt.? was able to lightly hit my stomach and chest. I asked him why he did this, his response ""I didn't do anything."" I was able to place the nasal cannula and leave the room. I maintained my safety and the pts safety.",Patient Unit - Medical/Surgical,Medical Surgical Unit - G6,  ,,
8/25/2024,Yes,Employee,CERTIFIED NURSING ASSISTANT I,Sexual Contact,  ,EAP Offered; Formal complaint filed with law enforcement; Law Enforcement involved/notified,Action by Patient/Resident,Emotional Distress,,  ,"today myself and , CNA we assigned 0800 turns for G6. when we arrived at this patients room to do his 0800 turn the patient had his gown pulled up with his penis out and as soon as we entered the room the patient told Lara to stop where she was and then grabbed his penis and stated, ""don't laugh at my penis. my penis is big."" CNA and I ignored this and informed the patient that we were there to do his 0800 turn to which the patient stated,, "" do you have a big mouth?"" to Lara. we informed him that we would not put up with that behavior. We noticed that the patient's under-pad was soiled and decided while we were doing the turn we would change the under-pad. when we got close to the bed he started swinging the call bell/remote in a small circle by the cord. As we stepped closer to change his under-pad as quickly as possible the patient proceeded to hit me in the vagina multiple times with the call bell/remote.  I stepped back and did tell him that I would not put up with that behavior and that we were just trying to change his under-pad and turn him. when we got close again we turned the patient to the right side of the bed where I was standing so that CNA could roll the old under-pad up and quickly slide the new one under there. during the short time he was turned on his side facing me he grabbed my vagina twice and my breast. I hit the call bell and asked for help. Lara and I quickly switched sides of the the bed so that  could quickly finish the turn and changing of the under-pad and at this time the patient grabbed CNA by the hand and started to squeeze to the point of pain and nail marks on her hand. we tried to get her hand free but the other staff arrived to help with the patient.CNA and I left the room and I informed the charge nurse of the incidence. ",Patient Unit - Medical/Surgical,Medical Surgical Unit - G6,No,Yes,8/25/2024
8/26/2024,No,Employee,PSYCHIATRIC TECHNICIAN,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,Chemical Restraint/Medication administered; De-escalation techniques; Physical Restraints utilized,Altered Mental Status,  ,,  ,"PT in 27 was becoming agitated and this tech decided to go over to overflow to assist security in descalation. This tech tried to prompt pt to go back to their room and then pt tried to use the door to the sally port and found out it was locked, so this tech tried to prompt pt back into their room and when pt walked past this tech pt hit this tech with closed fist in chest. This tech-initiated hands on with security coming immediately to aid. Pt then brought back to their room and restrained on bed.",Emergency Department,Emergency Department,  ,,
8/28/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Biting,Physical Restraints utilized; Seclusion of Patient,Patient - Lack of Compliance/Adherence,Bite - Human,right forearm,  ,while in restraint with pt - employee was bit on right forearm. bite broke first layer of skin and left a mark.?,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,No,,
8/29/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Kicking/Hitting/Beating,No Action,Agitated; Cognitive Impairment; Loss of Temper; Staff - Insufficient Staff,Other,Head,  ,"Patient was escalated due to unknown reasons, and charge into peers' room, staff intervened with patient, patient then proceeded to punch staff in the head twice.?",Patient Unit - Psych/Behavioral Health,Katahdin 2 South,Unknown,,
8/29/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),Throwing an Object/Breaking Object,Chemical Restraint/Medication administered; De-escalation techniques,Altered Mental Status,  ,,  ,Pt became confused and violent.? Pt attempted to elope as he did not know where he was and struck 2 staff members while he was being assisted back to bed.,Patient Unit - Intensive/Critical Care,Cardiac Intensive Care Unit,  ,,
8/29/2024,No,Employee,CHARGE NURSE,Abuse/Assault (Physical),Kicking/Hitting/Beating,Chemical Restraint/Medication administered; De-escalation techniques,Altered Mental Status,  ,,  ,Pt became confused and violent.? Pt attempted to elope as he did not know where he was and struck 2 staff members while he was being assisted back to bed.,Patient Unit - Intensive/Critical Care,Cardiac Intensive Care Unit,  ,,
8/29/2024,Yes,Employee,Staff Nurse,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,Chemical Restraint/Medication administered; Physical Restraints utilized; Seclusion of Patient; EAP - Offered/Employee Assistance Program Information Provided,Patient - Lack of Understanding,Other; Pain,Left eye,  ,"The patient  was out in the milieu. The patient kept approaching the half wall where security was sitting. The patient was attempting to climb over the half wall when security interfered to try and get the patient to stop. The patient however assaulted the security officer by scratching his neck. I went over to try and get the patient to let go of the security officer when he attempted to start biting. He was unable to bite myself or the security officer however he was able to scratch me in the left eye. I had to let go of the patient because my vision was blurry and broadcasted on the vocera to have medical staff come over and assist. We were able to get more med staff then just myself to come and put the patient into seclusion with the help of security. Dr.  was asked to come over and after talking with him, we both agreed IM medications would be helpful to get the patient to calm down.?",Emergency Department,Emergency Department,No,,
8/30/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Biting,Referred to Employee Health; Treatment Provided,Action by Patient/Resident,Bite - Human,Left arm,  ,pt bit left arm during restraint,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,No,,
8/30/2024,No,Employee,PSYCHIATRIC TECHNICIAN,Abuse/Assault (Physical),Pushing/Shoving,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident,  ,,  ,"ED Psych Tech was attempting to help to de-escalate patient, and patient lunged and pushed ED psych tech into the wall.?",Emergency Department,Emergency Department,  ,,
8/30/2024,No,Employee,PSYCHIATRIC TECHNICIAN,Abuse/Assault (Physical),Kicking/Hitting/Beating,EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident,  ,,  ,Psych Tech was kicked in thigh while attempting to de-escalate patient.?,Emergency Department,Emergency Department,  ,,
8/30/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),Spitting,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident,  ,,  ,Staff member was spit at when standing behind the half wall.?,Emergency Department,Emergency Department,  ,,
8/30/2024,No,Employee,PSYCHIATRIC TECHNICIAN,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident,  ,,  ,Staff member was standing behind half wall and was slapped across the face.?,Emergency Department,Emergency Department,  ,,
8/30/2024,No,Employee,Staff Nurse,Abuse/Assault (Verbal),  ,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident,  ,,  ,ED Nurse was hit in chest.?,Emergency Department,Emergency Department,  ,,
8/31/2024,No,Employee,INPATIENT COORDINATOR,Abuse/Assault (Physical),Biting,Other,Action by Patient/Resident,  ,,  ,During restraint patient attempted to bite writer. Teeth of the patient was felt but it did not appear to have broken the skin.,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,  ,,
8/31/2024,No,Employee,PSYCHIATRIC TECHNICIAN,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident,  ,,  ,ED Psych tech was kicked x2 at the half wall while trying to de-escalate this patient.?,Emergency Department,Emergency Department,  ,,
8/31/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident,  ,,  ,ED RN was supervising the patient in the bathroom and patient kicked her in the thigh.?,Emergency Department,Emergency Department,  ,,
8/31/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),Throwing an Object/Breaking Object,Items properly disposed of; EAP - Offered/Employee Assistance Program Information Provided,Psychiatric Bed Unavailable,  ,,  ,patient in DEA threw feces at staff,Emergency Department,Emergency Department,  ,,
9/1/2024,Yes,Employee,PSYCHIATRIC TECHNICIAN,Abuse/Assault (Physical),Biting,De-escalation techniques; Seclusion of Patient; EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident,Bite - Human; Other,LEFT HAND AND NECK,  ,"Pt was half asleep at the table in the milieu, and kept requesting to cook we had to tell him that it wasn't an option because we don't have a kitchen. He then lunged at security officer and chased him into the corner, so I stepped to him to help manage his behavior and he grabbed me and then bit my left hand and I moved him away from my hand and he bit my right hand. More security showed up and we gently took him to the floor to get a better hold to move him into his room, security physically escorted him in front of his room and then we entered a physical hold and escorted him into his room and closed and locked the door.",Emergency Department,Emergency Department,No,,
9/2/2024,Yes,Employee,RESOURCE NURSE/RN,Abuse/Assault (Physical),Kicking/Hitting/Beating,Seclusion of Patient,Patient - Lack of Compliance/Adherence; Staff - Proficiency Issue,Pain,,  ,Patient kicked this RN and scratched her during restraint chair adjustment (that was the result of tech not tightening the straps sufficiently. This RN's L wrist also harmed due to restraint volatility and patient force.,Patient Unit - Psych/Behavioral Health,Cadillac 2 North,No,,
9/2/2024,No,"Affiliate (contracted staff, student)",Registered Nurse,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull; Throwing an Object/Breaking Object,No Action; EAP - Offered/Employee Assistance Program Information Provided,Altered Mental Status,  ,,  ,"push me, threw his cell phone at me, slapped me on the arm and then grabbed and twisted my arm.",Patient Unit - Cardiac Tele/Intermediate Care,Cardiac Unit - P6,  ,,
9/2/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull; Kicking/Hitting/Beating,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident,  ,,  ,ED Nurse was headbutted in chest.?,Emergency Department,Emergency Department,  ,,
9/2/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident,  ,,  ,ED RN was attempting to take IPAD away from patient and was slapped in the chest.?,Emergency Department,Emergency Department,  ,,
9/2/2024,No,Employee,CNA I- UNIT SECRETARY,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Action by Patient/Resident,  ,,  ,"ED Tech was in the milieu with patient and unprovoked patient elbowed staff member on the right side, head butt right shoulder x4, and head-butted chest.?",Emergency Department,Emergency Department,  ,,
9/2/2024,No,"Affiliate (contracted staff, student)",Nursing Assistant,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,Emergency Call/Code; EAP - Offered/Employee Assistance Program Information Provided,Altered Mental Status,  ,,  ,patient twisted my arm back when i attempted to perform incontinent care on him,Patient Unit - Cardiac Tele/Intermediate Care,Medical Surgical Unit - H3,  ,,
