Event Date,Facility Type,Department/Office Incident Took Place,Occupational Category of Person Affected,Aggressor,Type of Violence,Primary Contributing Factors,Severity of Assault,Primary Assault Description,Assault Description,Emotional and/ or Psychological Impact,Level of Care Needed,Response Action Taken,Split Roles,General Role,General Violence_Category,General Location,General Advanced Location,General Severity Category,General Severity Numerical,General Emotional Numerical
2/9/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Allied Health/Technologist, Security",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object",,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, Seclusion of Patient, Emergency Call/Code, De-escalation Techniques","Nurse (RN, LPN)",Nurse,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Allied Health/Technologist, Security",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object",,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, Seclusion of Patient, Emergency Call/Code, De-escalation Techniques","Nurse (RN, LPN)",Nurse,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Allied Health/Technologist, Security",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object",,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, Seclusion of Patient, Emergency Call/Code, De-escalation Techniques",Physician/Advanced Practice Provider,Physician/APP,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Allied Health/Technologist, Security",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object",,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, Seclusion of Patient, Emergency Call/Code, De-escalation Techniques",Physician/Advanced Practice Provider,Physician/APP,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Allied Health/Technologist, Security",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object",,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, Seclusion of Patient, Emergency Call/Code, De-escalation Techniques",Allied Health/Technologist,Allied Health,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Allied Health/Technologist, Security",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object",,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, Seclusion of Patient, Emergency Call/Code, De-escalation Techniques",Allied Health/Technologist,Allied Health,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Allied Health/Technologist, Security",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object",,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, Seclusion of Patient, Emergency Call/Code, De-escalation Techniques",Security,Security,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Allied Health/Technologist, Security",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object",,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, Seclusion of Patient, Emergency Call/Code, De-escalation Techniques",Security,Security,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/8/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Allied Health/Technologist, Security",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Harassment, Verbal Assault, Posturing",,None,,"Emergency Call/Code, De-escalation Techniques, Chemical Restraint/Medication Administered","Nurse (RN, LPN)",Nurse,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/8/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Allied Health/Technologist, Security",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Harassment, Verbal Assault, Posturing",,None,,"Emergency Call/Code, De-escalation Techniques, Chemical Restraint/Medication Administered",Physician/Advanced Practice Provider,Physician/APP,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/8/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Allied Health/Technologist, Security",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Harassment, Verbal Assault, Posturing",,None,,"Emergency Call/Code, De-escalation Techniques, Chemical Restraint/Medication Administered",Allied Health/Technologist,Allied Health,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/8/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Allied Health/Technologist, Security",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Harassment, Verbal Assault, Posturing",,None,,"Emergency Call/Code, De-escalation Techniques, Chemical Restraint/Medication Administered",Security,Security,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Behavioral health unit,"Nurse (RN, LPN)",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object, Verbal Assault",Attempting to break windows,None,,"Security Called, Seclusion of Patient","Nurse (RN, LPN)",Nurse,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Behavioral health unit,"Nurse (RN, LPN)",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object, Verbal Assault",Attempting to break windows,None,,"Security Called, Seclusion of Patient","Nurse (RN, LPN)",Nurse,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Behavioral health unit,"Nurse (RN, LPN), Security",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object, Verbal Assault",Attempting to break windows,None,,"Security Called, Seclusion of Patient","Nurse (RN, LPN)",Nurse,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Behavioral health unit,"Nurse (RN, LPN), Security",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object, Verbal Assault",Attempting to break windows,None,,"Security Called, Seclusion of Patient","Nurse (RN, LPN)",Nurse,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Behavioral health unit,"Nurse (RN, LPN), Security",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object, Verbal Assault",Attempting to break windows,None,,"Security Called, Seclusion of Patient",Security,Security,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Behavioral health unit,"Nurse (RN, LPN), Security",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object, Verbal Assault",Attempting to break windows,None,,"Security Called, Seclusion of Patient",Security,Security,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Hallway,"Nurse (RN, LPN), Other",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Spitting, Throwing Object/Breaking Object, Verbal Assault","Spit on HRO, broke object off stretcher, attempted assault",None,First Aid,"Security Called, Law Enforcement Called, Physical Restraints Used","Nurse (RN, LPN)",Nurse,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Hallway,"Nurse (RN, LPN), Other",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Spitting, Throwing Object/Breaking Object, Verbal Assault","Spit on HRO, broke object off stretcher, attempted assault",None,First Aid,"Security Called, Law Enforcement Called, Physical Restraints Used","Nurse (RN, LPN)",Nurse,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Hallway,"Nurse (RN, LPN), Other",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Spitting, Throwing Object/Breaking Object, Verbal Assault","Spit on HRO, broke object off stretcher, attempted assault",None,First Aid,"Security Called, Law Enforcement Called, Physical Restraints Used",Other,Other,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Hallway,"Nurse (RN, LPN), Other",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Spitting, Throwing Object/Breaking Object, Verbal Assault","Spit on HRO, broke object off stretcher, attempted assault",None,First Aid,"Security Called, Law Enforcement Called, Physical Restraints Used",Other,Other,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/9/2024,ED,Patient room,"Nurse (RN, LPN)",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object","Flipped stretcher over, pulled eye wash station out of wall",None,,"Security Called, Law Enforcement Called, Emergency Call/Code","Nurse (RN, LPN)",Nurse,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/11/2024,ED,Hallway,Other,Patient,Physical,Inpatient Bed Unavailable,Severe - Laceration/Fracture(s)/Head Injury,"Grabbing/Pinching/Scratching/Hair Pull, Kicking/Hitting/Beating, Posturing, Punched, Pushing/Shoving","Destroying hospital property, attacked HRO, right elbow laceration",Mild,First Aid,"Security Called, Law Enforcement Called, Physical Restraints Used, Emergency Call/Code, De-escalation Techniques",Other,Other,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,1.0
2/10/2024,ED,Hallway,Security,Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,Throwing Object/Breaking Object,"Threw iPad on floor, smashed it off sink",None,,"Security Called, Law Enforcement Called, Emergency Call/Code, De-escalation Techniques, Chemical Restraint/Medication Administered",Security,Security,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/11/2024,ED,Hallway,Other,Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Pushing/Shoving","Punched badge reader, shoved HRO",None,,"Security Called, Law Enforcement Called, Emergency Call/Code, De-escalation Techniques, Chemical Restraint/Medication Administered",Other,Other,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/16/2024,ED,Behavioral health unit,"Nurse (RN, LPN), Security, Other",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Punched, Kicking/Hitting/Beating, Throwing Object/Breaking Object",Hitting head off window,None,,"Security Called, Law Enforcement Called, Chemical Restraint/Medication Administered, De-escalation Techniques","Nurse (RN, LPN)",Nurse,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/16/2024,ED,Behavioral health unit,"Nurse (RN, LPN), Security, Other",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Punched, Kicking/Hitting/Beating, Throwing Object/Breaking Object",Hitting head off window,None,,"Security Called, Law Enforcement Called, Chemical Restraint/Medication Administered, De-escalation Techniques","Nurse (RN, LPN)",Nurse,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/16/2024,ED,Behavioral health unit,"Nurse (RN, LPN), Security, Other",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Punched, Kicking/Hitting/Beating, Throwing Object/Breaking Object",Hitting head off window,None,,"Security Called, Law Enforcement Called, Chemical Restraint/Medication Administered, De-escalation Techniques",Security,Security,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/16/2024,ED,Behavioral health unit,"Nurse (RN, LPN), Security, Other",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Punched, Kicking/Hitting/Beating, Throwing Object/Breaking Object",Hitting head off window,None,,"Security Called, Law Enforcement Called, Chemical Restraint/Medication Administered, De-escalation Techniques",Security,Security,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
2/16/2024,ED,Behavioral health unit,"Nurse (RN, LPN), Security, Other",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Punched, Kicking/Hitting/Beating, Throwing Object/Breaking Object",Hitting head off window,None,,"Security Called, Law Enforcement Called, Chemical Restraint/Medication Administered, De-escalation Techniques",Other,Other,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
2/16/2024,ED,Behavioral health unit,"Nurse (RN, LPN), Security, Other",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Punched, Kicking/Hitting/Beating, Throwing Object/Breaking Object",Hitting head off window,None,,"Security Called, Law Enforcement Called, Chemical Restraint/Medication Administered, De-escalation Techniques",Other,Other,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
3/1/2024,Med/Surg/Inpatient,Patient room,"Nurse (RN, LPN)",Patient,Physical,Altered Mental Status,None - No Contact/Unwanted Contact w/No Injury,"Grabbing/Pinching/Scratching/Hair Pull, Kicking/Hitting/Beating",Hitting staff,None,,"Security Called, Chemical Restraint/Medication Administered","Nurse (RN, LPN)",Nurse,Physical Violence,Med/Surg/Inpatient,Clinical Unit,,0.0,0.0
3/28/2024,ED,Hallway,"Nurse (RN, LPN)",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,Throwing Object/Breaking Object,"Ripped badge reader off wall, pulled eye wash station cord, attempted assault",None,,"Security Called, Law Enforcement Called, Chemical Restraint/Medication Administered, Physical Restraints Used, De-escalation Techniques, Emergency Call/Code","Nurse (RN, LPN)",Nurse,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
4/2/2024,ED,Patient room,"Nurse (RN, LPN), Security",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Kicking/Hitting/Beating, Throwing Object/Breaking Object","Kicked hole in drywall, punched window",None,,"Emergency Call/Code, Security Called, Law Enforcement Called, Chemical Restraint/Medication Administered","Nurse (RN, LPN)",Nurse,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
4/2/2024,ED,Patient room,"Nurse (RN, LPN), Security",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Kicking/Hitting/Beating, Throwing Object/Breaking Object","Kicked hole in drywall, punched window",None,,"Emergency Call/Code, Security Called, Law Enforcement Called, Chemical Restraint/Medication Administered",Security,Security,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
4/7/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Security",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Grabbing/Pinching/Scratching/Hair Pull, Kicking/Hitting/Beating, Pushing/Shoving, Verbal Assault",Arrived via EMS combative,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques, Emergency Call/Code","Nurse (RN, LPN)",Nurse,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
4/7/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Security",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Grabbing/Pinching/Scratching/Hair Pull, Kicking/Hitting/Beating, Pushing/Shoving, Verbal Assault",Arrived via EMS combative,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques, Emergency Call/Code","Nurse (RN, LPN)",Nurse,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
4/7/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Security",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Grabbing/Pinching/Scratching/Hair Pull, Kicking/Hitting/Beating, Pushing/Shoving, Verbal Assault",Arrived via EMS combative,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques, Emergency Call/Code",Physician/Advanced Practice Provider,Physician/APP,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
4/7/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Security",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Grabbing/Pinching/Scratching/Hair Pull, Kicking/Hitting/Beating, Pushing/Shoving, Verbal Assault",Arrived via EMS combative,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques, Emergency Call/Code",Physician/Advanced Practice Provider,Physician/APP,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
4/7/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Security",Patient,Physical,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Grabbing/Pinching/Scratching/Hair Pull, Kicking/Hitting/Beating, Pushing/Shoving, Verbal Assault",Arrived via EMS combative,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques, Emergency Call/Code",Security,Security,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
4/7/2024,ED,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider, Security",Patient,Verbal,Inpatient Bed Unavailable,None - No Contact/Unwanted Contact w/No Injury,"Grabbing/Pinching/Scratching/Hair Pull, Kicking/Hitting/Beating, Pushing/Shoving, Verbal Assault",Arrived via EMS combative,None,,"Security Called, Law Enforcement Called, Physical Restraints Used, Chemical Restraint/Medication Administered, De-escalation Techniques, Emergency Call/Code",Security,Security,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
4/13/2024,ED,Hallway,"Nurse (RN, LPN)",Patient,Physical,Homelessness/Lack of Housing,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object","Verbal threats of violence, hitting doors/walls",None,,"Emergency Call/Code, De-escalation Techniques","Nurse (RN, LPN)",Nurse,Physical Violence,ED/ER,Clinical Unit,,0.0,0.0
4/13/2024,ED,Hallway,"Nurse (RN, LPN)",Patient,Verbal,Homelessness/Lack of Housing,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Throwing Object/Breaking Object","Verbal threats of violence, hitting doors/walls",None,,"Emergency Call/Code, De-escalation Techniques","Nurse (RN, LPN)",Nurse,Verbal Abuse,ED/ER,Clinical Unit,,0.0,0.0
4/16/2024,ED,Patient room,"Nurse (RN, LPN)",Patient,Physical,community Services Unavailable,Mild - Mild Soreness/Abrasions/Scratches/Small Bruises,"Grabbing/Pinching/Scratching/Hair Pull, Verbal Assault","Verbal threats of violence, throwing objects, grabbing and squeezing staff arm",Mild,,De-escalation Techniques,"Nurse (RN, LPN)",Nurse,Physical Violence,ED/ER,Clinical Unit,Mild,1.0,1.0
4/16/2024,ED,Patient room,"Nurse (RN, LPN)",Patient,Verbal,community Services Unavailable,Mild - Mild Soreness/Abrasions/Scratches/Small Bruises,"Grabbing/Pinching/Scratching/Hair Pull, Verbal Assault","Verbal threats of violence, throwing objects, grabbing and squeezing staff arm",Mild,,De-escalation Techniques,"Nurse (RN, LPN)",Nurse,Verbal Abuse,ED/ER,Clinical Unit,Mild,1.0,1.0
4/16/2024,ED,Patient room,"Nurse (RN, LPN)",Patient,Physical,community Services Unavailable,Mild - Mild Soreness/Abrasions/Scratches/Small Bruises,"Throwing Object/Breaking Object, Kicking/Hitting/Beating, Verbal Assault","Name calling, throwing objects, hitting, kicking",None,,"Security Called, Law Enforcement Called, De-escalation Techniques","Nurse (RN, LPN)",Nurse,Physical Violence,ED/ER,Clinical Unit,Mild,1.0,0.0
4/16/2024,ED,Patient room,"Nurse (RN, LPN)",Patient,Verbal,community Services Unavailable,Mild - Mild Soreness/Abrasions/Scratches/Small Bruises,"Throwing Object/Breaking Object, Kicking/Hitting/Beating, Verbal Assault","Name calling, throwing objects, hitting, kicking",None,,"Security Called, Law Enforcement Called, De-escalation Techniques","Nurse (RN, LPN)",Nurse,Verbal Abuse,ED/ER,Clinical Unit,Mild,1.0,0.0
5/17/2024,Med/Surg/Inpatient,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider",Patient,Verbal,Removal of Personal Belongings by Security/Care Team,None - No Contact/Unwanted Contact w/No Injury,Verbal Assault,"Yelling, name calling when attempting to take cigarettes",None,,"Security Called, De-escalation Techniques","Nurse (RN, LPN)",Nurse,Verbal Abuse,Med/Surg/Inpatient,Clinical Unit,,0.0,0.0
5/17/2024,Med/Surg/Inpatient,Patient room,"Nurse (RN, LPN), Physician/Advanced Practice Provider",Patient,Verbal,Removal of Personal Belongings by Security/Care Team,None - No Contact/Unwanted Contact w/No Injury,Verbal Assault,"Yelling, name calling when attempting to take cigarettes",None,,"Security Called, De-escalation Techniques",Physician/Advanced Practice Provider,Physician/APP,Verbal Abuse,Med/Surg/Inpatient,Clinical Unit,,0.0,0.0
5/29/2024,Other,Laboratory/therapeutic phlebotomy,Allied Health/Technologist,Patient,Verbal,Unknown,None - No Contact/Unwanted Contact w/No Injury,"Posturing, Harassment, Verbal Assault",Threatening behavior while in outpatient lab,Mild,,"Security Called, De-escalation Techniques",Allied Health/Technologist,Allied Health,Verbal Abuse,ED/ER,Clinical Unit,,0.0,1.0
5/30/2024,Other,Admitting office,Administration/Support Services,Patient,Verbal,Unknown,None - No Contact/Unwanted Contact w/No Injury,Verbal Assault,Unwilling to participate in registration,Mild,,No Security or Law Enforcement Called,Administration/Support Services,Admin/Management,Verbal Abuse,Administration,Administrative/Shared,,0.0,1.0
